"to","from","n"
"Aaron.Dolan.Hill@dtaa.com","Julie.Cecilia.Arnold@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Kaitlin.Amity.Armstrong@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Kennan.Thane.Chavez@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Kenyon.Salvador.May@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Lars.Kenyon.Harding@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Lee.Griffin.Rasmussen@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Lucy.Anika.Valenzuela@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Marsden.Paul.Wong@dtaa.com",2
"Aaron.Dolan.Hill@dtaa.com","Nelle.Hadley.Walker@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Olga.Jane.Bonner@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Pandora.Charity.Mullins@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Patrick.Paul.Robles@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Quemby.Charity.Dudley@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Raphael.Jarrod.Hammond@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Reece.Emmanuel.Adams@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Rudyard.Drake.Hampton@dtaa.com",2
"Aaron.Dolan.Hill@dtaa.com","Sage.Hanae.Long@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Sonia.Nerea.Love@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Suki.Ginger.Estes@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Thomas.Jacob.Booth@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Uta.Jamalia.Bullock@dtaa.com",1
"Aaron.Dolan.Hill@dtaa.com","Velma.Marah.Torres@dtaa.com",1
"Abbot.Jeremy.Cabrera@harris.com","Vaughan.Lucian.Buck@dtaa.com",1
"Abdul.Nathaniel.Kelly@cox.net","Quentin.Benjamin.Stout@dtaa.com",1
"Abdul.Randall.Ferrell@hotmail.com","Benedict.Ivan.Rowe@dtaa.com",1
"Abdul.Rogan.Snider@aol.com","Prescott.Anthony.Whitley@dtaa.com",1
"Abel.Christopher.Ayers@msn.com","Angelica.Shelly.Ortega@dtaa.com",1
"Abel.Christopher.Ayers@msn.com","Hall.Bruce.Copeland@dtaa.com",1
"Abel.Christopher.Ayers@msn.com","Ingrid.Alma.Fields@dtaa.com",22
"Abel.Christopher.Ayers@msn.com","Lamar.Oleg.Donaldson@dtaa.com",2
"Abel.Dale.Singleton@earthlink.net","Shelley.Quynn.Emerson@dtaa.com",6
"Abel.Yoshio.Holt@comcast.net","Hunter.Stephen.Slater@dtaa.com",1
"Abel.Yoshio.Holt@comcast.net","James.Harrison.Wynn@dtaa.com",1
"Abel.Yoshio.Holt@comcast.net","Justin.Declan.Gross@dtaa.com",1
"Abel.Yoshio.Holt@comcast.net","Morgan.Avye.Banks@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Adele.Carol.Banks@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Amaya.Amy.Patterson@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Ashely.Kai.Bruce@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Ashely.Violet.Joyner@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Basia.Lara.Lloyd@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Baxter.Knox.Mejia@dtaa.com",5
"Abigail.Brianna.Terrell@dtaa.com","Beck.Colin.Dean@dtaa.com",3
"Abigail.Brianna.Terrell@dtaa.com","Benjamin.Alec.Gutierrez@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Bert.Beau.Sloan@dtaa.com",4
"Abigail.Brianna.Terrell@dtaa.com","Blaine.Nora.Brown@dtaa.com",3
"Abigail.Brianna.Terrell@dtaa.com","Breanna.Leila.Alexander@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Cole.Dorian.Gibbs@dtaa.com",4
"Abigail.Brianna.Terrell@dtaa.com","Cora.Maggy.Wise@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Davis.James.Whitney@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Desiree.Claudia.Booth@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Destiny.Kelsie.Fletcher@dtaa.com",6
"Abigail.Brianna.Terrell@dtaa.com","Geraldine.Linda.Warner@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Gretchen.Wendy.Cleveland@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Hamilton.Donovan.Waller@dtaa.com",3
"Abigail.Brianna.Terrell@dtaa.com","Hector.Jonah.Kim@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Irma.Liberty.Burns@dtaa.com",3
"Abigail.Brianna.Terrell@dtaa.com","Ivy.Hiroko.Sears@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Jane.Amela.Richards@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Jaquelyn.September.David@dtaa.com",4
"Abigail.Brianna.Terrell@dtaa.com","Jerry.Vincent.Shepherd@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Jolene.Cameron.Jacobs@dtaa.com",7
"Abigail.Brianna.Terrell@dtaa.com","Joy.Quon.Justice@dtaa.com",5
"Abigail.Brianna.Terrell@dtaa.com","Len.Zachery.Vaughn@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Madeson.Chanda.Foley@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Melissa.Ruby.Knight@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Minerva.Ocean.Pratt@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Nolan.Elmo.Cherry@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Olivia.Lacy.Mcpherson@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Oscar.Reece.Cote@dtaa.com",3
"Abigail.Brianna.Terrell@dtaa.com","Quamar.Otto.Padilla@dtaa.com",4
"Abigail.Brianna.Terrell@dtaa.com","Raven.Shellie.Owen@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Rhoda.Pamela.Mcleod@dtaa.com",2
"Abigail.Brianna.Terrell@dtaa.com","Rose.Nadine.Ayers@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Sarah.Bryar.Whitfield@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Serina.Ginger.Nielsen@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Sharon.Montana.Barnett@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Stephen.Nissim.Graves@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Sylvester.Sawyer.Bennett@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Taylor.Brady.House@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Thomas.Garrison.Flynn@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Velma.Marah.Torres@dtaa.com",4
"Abigail.Brianna.Terrell@dtaa.com","Wanda.Irene.Frazier@dtaa.com",2
"Abigail.Brianna.Terrell@dtaa.com","William.Vernon.Booth@dtaa.com",9
"Abigail.Brianna.Terrell@dtaa.com","Xenos.Benjamin.Byers@dtaa.com",1
"Abigail.Brianna.Terrell@dtaa.com","Yardley.Caleb.Sawyer@dtaa.com",3
"Abigail.Brianna.Terrell@dtaa.com","Zelenia.Charlotte.Lamb@dtaa.com",1
"Abigail.Deborah.Barton@earthlink.net","Garrison.Davis.Knight@dtaa.com",1
"Abigail.Deborah.Barton@earthlink.net","Nash.Derek.Alford@dtaa.com",2
"Abigail.Rylee.Bean@dtaa.com","Benjamin.Griffin.Mclaughlin@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Bree.Isabelle.Sweet@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Burton.Maxwell.Levy@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Cameran.Cally.Rodriquez@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Chancellor.Lee.Ratliff@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Cruz.Benedict.Hale@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Damon.Hyatt.Boyle@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Dorian.Samson.Randall@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Dorothy.Zenia.Odonnell@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Dylan.Kaden.Bonner@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Edward.Benjamin.Buck@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Emerald.Camilla.Frazier@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Gabriel.Camden.Joseph@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Gemma.Charlotte.Bartlett@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Grace.Victoria.Cummings@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Hilda.Madonna.Rodgers@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Janna.Aretha.Woodward@dtaa.com",39
"Abigail.Rylee.Bean@dtaa.com","Jessamine.Zelenia.Alvarado@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Kaden.Tarik.Giles@dtaa.com",84
"Abigail.Rylee.Bean@dtaa.com","Kenyon.Arthur.Kent@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Kiona.Alyssa.Gilmore@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Kitra.MacKensie.Dillon@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Macey.Colleen.Nash@dtaa.com",2
"Abigail.Rylee.Bean@dtaa.com","Maxine.Priscilla.Stewart@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Paula.Dorothy.Dalton@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Prescott.Anthony.Whitley@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Sade.Beatrice.Day@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Sage.Hanae.Long@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Stephen.Timothy.Waters@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Tashya.Adria.Fowler@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","Thomas.Jermaine.Combs@dtaa.com",1
"Abigail.Rylee.Bean@dtaa.com","William.Vernon.Booth@dtaa.com",1
"Abra.Charlotte.Mcknight@boeing.com","Daquan.Kevin.Berg@dtaa.com",24
"Abra.Charlotte.Mcknight@boeing.com","Howard.Connor.Sutton@dtaa.com",3
"Abra.Charlotte.Mcknight@boeing.com","Jennifer.Teagan.Colon@dtaa.com",1
"Abra.Charlotte.Mcknight@boeing.com","Kyla.Katelyn.Calhoun@dtaa.com",2
"Abra.Pearl.Huffman@northropgrumman.com","Blythe.Shelley.Banks@dtaa.com",13
"Abra.Pearl.Huffman@northropgrumman.com","Zoe.Jena.Williams@dtaa.com",1
"Abra.Urielle.Hayden@aol.com","Burke.Reed.Haynes@dtaa.com",1
"Abra.Urielle.Hayden@aol.com","Danielle.Quon.Mosley@dtaa.com",12
"Abra.Urielle.Hayden@aol.com","Olga.Jane.Bonner@dtaa.com",1
"Abraham.Luke.Burton@optonline.net","Jolene.Martha.Blake@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Adrienne.Joelle.Mclean@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Allen.Garrison.Wright@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Amos.Jermaine.Lane@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Angelica.Shelly.Ortega@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Anthony.Bruce.Graham@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Ayanna.Stacey.Leblanc@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Barclay.Lamar.Mclaughlin@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Benedict.Sebastian.Allen@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Blake.Chadwick.Vaughan@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Brenna.Martha.Russell@dtaa.com",2
"Abraham.Perry.Reyes@dtaa.com","Buffy.Imogene.Robles@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Callie.Glenna.Hodge@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Cassady.Riley.Alvarez@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Chancellor.Roth.Manning@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Chastity.Shaine.Floyd@dtaa.com",3
"Abraham.Perry.Reyes@dtaa.com","Christopher.Murphy.Dodson@dtaa.com",2
"Abraham.Perry.Reyes@dtaa.com","Ciara.Wynne.Acevedo@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Cyrus.Macaulay.Middleton@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Dane.Vladimir.Schmidt@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Ebony.Sandra.Bush@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Elton.Noah.Durham@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Garrison.Davis.Knight@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Gay.Kylynn.Holden@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Giacomo.Hamilton.Giles@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Gisela.Jeanette.Watkins@dtaa.com",24
"Abraham.Perry.Reyes@dtaa.com","Hall.Bruce.Copeland@dtaa.com",2
"Abraham.Perry.Reyes@dtaa.com","Hammett.Keegan.Powell@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Helen.Brooke.Buchanan@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Herrod.Len.Parker@dtaa.com",2
"Abraham.Perry.Reyes@dtaa.com","Irene.Beatrice.Cotton@dtaa.com",3
"Abraham.Perry.Reyes@dtaa.com","Isaiah.Hyatt.Talley@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Ivan.Allistair.Bender@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Jane.Amela.Richards@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Jane.Erica.Davis@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Jelani.Malachi.Wagner@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Jerome.Alec.Wallace@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Jolene.Lavinia.Houston@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Jolene.Martha.Blake@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Jonas.Blaine.Barr@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Keane.Gary.Russo@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Kevin.Laith.Fry@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Kyla.Katelyn.Calhoun@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Lamar.Oleg.Donaldson@dtaa.com",2
"Abraham.Perry.Reyes@dtaa.com","Lars.Scott.Hatfield@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Laura.Moana.Rowland@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Lucius.Cullen.Gallagher@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Lysandra.Keiko.Franks@dtaa.com",51
"Abraham.Perry.Reyes@dtaa.com","Marny.Scarlett.Dean@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Melanie.Iris.Kaufman@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Mufutau.Elmo.Lara@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Nash.Derek.Alford@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Nichole.Maisie.Leach@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Nolan.Richard.Blackburn@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Odessa.Hayley.Quinn@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Odessa.Susan.Bowman@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Rachel.Jeanette.Levine@dtaa.com",2
"Abraham.Perry.Reyes@dtaa.com","Samuel.Tad.Acevedo@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Scarlett.Kerry.Charles@dtaa.com",2
"Abraham.Perry.Reyes@dtaa.com","Shad.Prescott.Best@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Tashya.Adria.Fowler@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Theodore.Upton.Barry@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Uriel.Kermit.Wall@dtaa.com",3
"Abraham.Perry.Reyes@dtaa.com","Vaughan.Xerxes.Anderson@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Veronica.Alexa.David@dtaa.com",2
"Abraham.Perry.Reyes@dtaa.com","Wallace.Mannix.Deleon@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Walter.Moses.Noble@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Xena.Roary.Goodman@dtaa.com",1
"Abraham.Perry.Reyes@dtaa.com","Zachery.Ashton.Stewart@dtaa.com",1
"Abraham.Sean.Luna@hp.com","Chancellor.Rigel.William@dtaa.com",2
"Abraham.Sean.Luna@hp.com","Stephen.Timothy.Waters@dtaa.com",16
"Abraham.Tyler.Gray@hp.com","Cole.Basil.Nunez@dtaa.com",1
"Abraham.Tyler.Gray@hp.com","Lars.Scott.Hatfield@dtaa.com",1
"Abraham.Tyler.Gray@hp.com","Sloane.Lacey.Mcmahon@dtaa.com",16
"Acton.Fuller.Keller@gmail.com","Akeem.Paki.Chapman@dtaa.com",9
"Acton.Fuller.Keller@gmail.com","Kelly.Elton.Porter@dtaa.com",2
"Acton.Fuller.Keller@gmail.com","Suki.Ginger.Estes@dtaa.com",1
"Acton.Nicolas.Chan@hotmail.com","Taylor.Samantha.Torres@dtaa.com",1
"Acton.Seth.Valenzuela@raytheon.com","Denton.Thor.Espinoza@dtaa.com",1
"Adara.Alea.Goodwin@cox.net","Ora.Orla.Branch@dtaa.com",1
"Adara.Alea.Goodwin@cox.net","Roth.Laith.Pena@dtaa.com",27
"Addison.Chester.Oneill@boeing.com","Amos.Jermaine.Lane@dtaa.com",1
"Addison.Evan.Dillon@earthlink.net","Breanna.Leila.Alexander@dtaa.com",1
"Addison.Evan.Dillon@earthlink.net","Brock.Reese.Stanley@dtaa.com",1
"Addison.Evan.Dillon@earthlink.net","Hanae.Kiayada.Holder@dtaa.com",13
"Addison.Evan.Dillon@earthlink.net","Xenos.Benjamin.Byers@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Adrienne.Joelle.Mclean@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Alyssa.Kimberly.Pratt@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Armando.James.Ortega@dtaa.com",17
"Adele.Carol.Banks@dtaa.com","Beck.Cain.Marsh@dtaa.com",18
"Adele.Carol.Banks@dtaa.com","Burke.Reed.Haynes@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Cameran.Sheila.Conrad@dtaa.com",2
"Adele.Carol.Banks@dtaa.com","Cameron.Jonathan.Thomas@dtaa.com",18
"Adele.Carol.Banks@dtaa.com","Chiquita.Fallon.Burris@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Evangeline.Chava.Curtis@dtaa.com",13
"Adele.Carol.Banks@dtaa.com","Fiona.Phyllis.Swanson@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Francesca.Aimee.Mendoza@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Giacomo.Russell.Moreno@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Grady.Calvin.Morin@dtaa.com",16
"Adele.Carol.Banks@dtaa.com","Hayes.Tobias.Mcdowell@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Hermione.Quynn.Cross@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Ira.Rooney.Franklin@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Isaiah.Hyatt.Talley@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Ivan.Tanek.Garrison@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Janna.Aretha.Woodward@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Joan.Fiona.Mercer@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Karleigh.Candace.Lowe@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Laith.Dante.Forbes@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Lana.Uma.Alexander@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Maxine.Priscilla.Stewart@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Morgan.Gretchen.Nunez@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Noelani.Rebekah.Farmer@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Octavia.Ella.Murray@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Quamar.Otto.Padilla@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Quon.Rana.Flynn@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Roth.Laith.Pena@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Sarah.Penelope.Duffy@dtaa.com",19
"Adele.Carol.Banks@dtaa.com","Shoshana.Portia.Mendoza@dtaa.com",14
"Adele.Carol.Banks@dtaa.com","Tanisha.Chelsea.Preston@dtaa.com",8
"Adele.Carol.Banks@dtaa.com","Tashya.Adria.Fowler@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Vaughan.Emery.Paul@dtaa.com",1
"Adele.Carol.Banks@dtaa.com","Zeus.Edward.Dawson@dtaa.com",1
"Adele.Claudia.Kline@juno.com","Chaney.Sean.Fuentes@dtaa.com",1
"Adele.Claudia.Kline@juno.com","Christen.Portia.Solis@dtaa.com",1
"Adele.Claudia.Kline@juno.com","Janna.Aretha.Woodward@dtaa.com",4
"Adele.Claudia.Kline@juno.com","Kitra.Jenette.Patel@dtaa.com",1
"Adele.Claudia.Kline@juno.com","Tatyana.Kendall.Gamble@dtaa.com",20
"Adele.Claudia.Kline@juno.com","Xena.Uma.Gibson@dtaa.com",6
"Adele.Jorden.Preston@dtaa.com","Alika.Yoko.Duke@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Amelia.Justina.Horn@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Benjamin.Rahim.Crane@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Brennan.Jesse.Carlson@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Chandler.Robert.Warner@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Chava.Alisa.Porter@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Chiquita.Fallon.Burris@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Chloe.Darrel.Hobbs@dtaa.com",44
"Adele.Jorden.Preston@dtaa.com","Damon.Rashad.Weaver@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Delilah.Melissa.Boyer@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Giselle.Shellie.Barnett@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Hakeem.Herman.Buck@dtaa.com",39
"Adele.Jorden.Preston@dtaa.com","Haviva.Jada.Molina@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Ivory.Ann.Shelton@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Ivy.Hiroko.Sears@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Jescie.Oprah.Lara@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Josephine.Sylvia.Parsons@dtaa.com",39
"Adele.Jorden.Preston@dtaa.com","Joy.Quon.Justice@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Justin.Declan.Gross@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Kitra.Jenette.Patel@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Lucy.Anika.Valenzuela@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Miriam.Autumn.Acevedo@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Moses.Paul.Bowers@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Ocean.Clementine.Long@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Octavius.Ulric.Sexton@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Prescott.Tyrone.Abbott@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Salvador.Quinn.Price@dtaa.com",47
"Adele.Jorden.Preston@dtaa.com","Sybill.Savannah.Ellis@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Uta.Jayme.Brennan@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Whoopi.Celeste.Schultz@dtaa.com",1
"Adele.Jorden.Preston@dtaa.com","Xena.Roary.Goodman@dtaa.com",1
"Adele.Kai.Chambers@optonline.net","Abigail.Brianna.Terrell@dtaa.com",5
